sales_order_number,order_date,channel,customer_number,payment_method,product_number,product_name,variant_size,variant_color,quantity,unit_price,net_revenue,unit_cost
AB-2026-10040,2026-04-16,Eigener Shop,K-16780,PayPal,JOG-CL-S-NAV,Jogger Classic,S,Navy,1,64.9,64.9,19.5
AB-2026-10041,2026-06-20,Zalando,K-18837,PayPal,CAP-LG-L-OLI,Cap Logo,L,Oliv,1,24.9,24.9,6.0
AB-2026-10041,2026-06-20,Zalando,K-18837,PayPal,TEE-OVS-XS-OLI,T-Shirt Oversized,XS,Oliv,1,34.9,34.9,9.0
AB-2026-10042,2026-05-15,Eigener Shop,K-16038,PayPal,JOG-CL-S-OLI,Jogger Classic,S,Oliv,1,64.9,64.9,19.5
AB-2026-10043,2026-02-28,Eigener Shop,K-18621,PayPal,HOOD-ZP-S-OLI,Zip-Hoodie Heavy,S,Oliv,1,89.9,89.9,28.0
AB-2026-10044,2026-02-12,Eigener Shop,K-11400,Kreditkarte,HOOD-CL-S-NAV,Hoodie Classic,S,Navy,1,69.9,69.9,21.0
AB-2026-10045,2026-04-04,Eigener Shop,K-11680,Rechnungskauf,CAP-LG-M-NAV,Cap Logo,M,Navy,1,24.9,24.9,6.0
AB-2026-10045,2026-04-04,Eigener Shop,K-11680,Rechnungskauf,HOOD-ZP-M-SCH,Zip-Hoodie Heavy,M,Schwarz,1,89.9,89.9,28.0
AB-2026-10046,2026-02-20,Eigener Shop,K-11837,PayPal,HOOD-ZP-XS-OLI,Zip-Hoodie Heavy,XS,Oliv,1,89.9,89.9,28.0
AB-2026-10047,2026-06-21,Eigener Shop,K-19788,Kreditkarte,HOOD-ZP-S-SCH,Zip-Hoodie Heavy,S,Schwarz,1,89.9,89.9,28.0
AB-2026-10047,2026-06-21,Eigener Shop,K-19788,Kreditkarte,HOOD-CL-XL-WEI,Hoodie Classic,XL,Weiss,1,69.9,69.9,21.0
AB-2026-10048,2026-04-24,Eigener Shop,K-19006,Rechnungskauf,CAP-LG-S-OLI,Cap Logo,S,Oliv,1,24.9,24.9,6.0
AB-2026-10048,2026-04-24,Eigener Shop,K-19006,Rechnungskauf,HOOD-ZP-XL-WEI,Zip-Hoodie Heavy,XL,Weiss,1,89.9,89.9,28.0
AB-2026-10049,2026-01-30,Eigener Shop,K-10005,PayPal,HOOD-ZP-S-NAV,Zip-Hoodie Heavy,S,Navy,1,89.9,89.9,28.0
AB-2026-10050,2026-02-03,Zalando,K-12164,Rechnungskauf,KLEID-PR-M-NAV,Sommerkleid Print,M,Navy,1,79.9,79.9,24.0
AB-2026-10051,2026-06-29,Amazon,K-16511,Kreditkarte,JOG-CL-L-NAV,Jogger Classic,L,Navy,1,64.9,64.9,19.5
AB-2026-10052,2026-05-31,Eigener Shop,K-11786,Kreditkarte,JOG-CL-S-WEI,Jogger Classic,S,Weiss,1,64.9,64.9,19.5
AB-2026-10053,2026-02-23,Eigener Shop,K-17122,Kreditkarte,JOG-CL-XL-SCH,Jogger Classic,XL,Schwarz,1,64.9,64.9,19.5
AB-2026-10054,2026-05-18,Eigener Shop,K-18355,PayPal,TEE-BAS-XS-NAV,T-Shirt Basic,XS,Navy,1,29.9,29.9,7.5
AB-2026-10055,2026-06-29,Eigener Shop,K-12068,PayPal,TEE-BAS-L-OLI,T-Shirt Basic,L,Oliv,1,29.9,29.9,7.5
AB-2026-10056,2026-06-03,Eigener Shop,K-18686,PayPal,CAP-LG-L-NAV,Cap Logo,L,Navy,1,24.9,24.9,6.0
AB-2026-10057,2026-03-31,Eigener Shop,K-12873,Rechnungskauf,HOOD-ZP-XS-WEI,Zip-Hoodie Heavy,XS,Weiss,1,89.9,89.9,28.0
AB-2026-10057,2026-03-31,Eigener Shop,K-12873,Rechnungskauf,HOOD-CL-L-OLI,Hoodie Classic,L,Oliv,1,69.9,69.9,21.0
AB-2026-10058,2026-02-15,Amazon,K-17274,PayPal,TEE-OVS-L-OLI,T-Shirt Oversized,L,Oliv,1,34.9,34.9,9.0
AB-2026-10059,2026-06-16,Eigener Shop,K-15036,PayPal,KLEID-PR-S-SCH,Sommerkleid Print,S,Schwarz,1,79.9,79.9,24.0
AB-2026-10059,2026-06-16,Eigener Shop,K-15036,PayPal,KLEID-PR-XL-OLI,Sommerkleid Print,XL,Oliv,1,79.9,79.9,24.0
AB-2026-10060,2026-02-26,Eigener Shop,K-18577,Vorkasse,TEE-BAS-S-WEI,T-Shirt Basic,S,Weiss,1,29.9,29.9,7.5
AB-2026-10061,2026-02-02,Eigener Shop,K-12399,PayPal,TEE-BAS-XL-WEI,T-Shirt Basic,XL,Weiss,1,29.9,29.9,7.5
AB-2026-10062,2026-04-22,Zalando,K-13231,PayPal,SOCK-3P-XS-SCH,Sneaker Socken 3er-Pack,XS,Schwarz,1,19.9,19.9,4.8
AB-2026-10062,2026-04-22,Zalando,K-13231,PayPal,HOOD-ZP-S-OLI,Zip-Hoodie Heavy,S,Oliv,1,89.9,89.9,28.0
AB-2026-10062,2026-04-22,Zalando,K-13231,PayPal,KLEID-PR-M-OLI,Sommerkleid Print,M,Oliv,1,79.9,79.9,24.0
AB-2026-10063,2026-04-16,Eigener Shop,K-17068,PayPal,KLEID-PR-M-WEI,Sommerkleid Print,M,Weiss,1,79.9,79.9,24.0
AB-2026-10063,2026-04-16,Eigener Shop,K-17068,PayPal,KLEID-PR-S-WEI,Sommerkleid Print,S,Weiss,1,79.9,79.9,24.0
AB-2026-10064,2026-01-25,Amazon,K-12794,Kreditkarte,KLEID-PR-L-WEI,Sommerkleid Print,L,Weiss,1,79.9,79.9,24.0
AB-2026-10065,2026-06-15,Eigener Shop,K-16193,Rechnungskauf,HOOD-ZP-XS-OLI,Zip-Hoodie Heavy,XS,Oliv,1,89.9,89.9,28.0
AB-2026-10066,2026-03-04,Eigener Shop,K-19497,Kreditkarte,KLEID-PR-M-WEI,Sommerkleid Print,M,Weiss,1,79.9,79.9,24.0
AB-2026-10066,2026-03-04,Eigener Shop,K-19497,Kreditkarte,KLEID-PR-S-WEI,Sommerkleid Print,S,Weiss,1,79.9,79.9,24.0
AB-2026-10067,2026-03-16,Eigener Shop,K-17061,PayPal,SOCK-3P-XL-NAV,Sneaker Socken 3er-Pack,XL,Navy,1,19.9,19.9,4.8
AB-2026-10068,2026-06-09,Eigener Shop,K-19648,PayPal,HOOD-CL-XS-OLI,Hoodie Classic,XS,Oliv,1,69.9,69.9,21.0
AB-2026-10069,2026-05-11,Eigener Shop,K-14727,Rechnungskauf,TEE-BAS-L-NAV,T-Shirt Basic,L,Navy,1,29.9,29.9,7.5
AB-2026-10070,2026-06-20,Eigener Shop,K-15129,PayPal,KLEID-PR-XS-WEI,Sommerkleid Print,XS,Weiss,1,79.9,79.9,24.0
AB-2026-10070,2026-06-20,Eigener Shop,K-15129,PayPal,JOG-CL-L-SCH,Jogger Classic,L,Schwarz,1,64.9,64.9,19.5
AB-2026-10070,2026-06-20,Eigener Shop,K-15129,PayPal,CAP-LG-M-SCH,Cap Logo,M,Schwarz,1,24.9,24.9,6.0
AB-2026-10071,2026-04-03,Eigener Shop,K-12652,Rechnungskauf,TEE-BAS-XL-SCH,T-Shirt Basic,XL,Schwarz,1,29.9,29.9,7.5
AB-2026-10072,2026-04-30,Eigener Shop,K-11507,Kreditkarte,HOOD-CL-XL-OLI,Hoodie Classic,XL,Oliv,1,69.9,69.9,21.0
AB-2026-10072,2026-04-30,Eigener Shop,K-11507,Kreditkarte,TEE-OVS-XS-OLI,T-Shirt Oversized,XS,Oliv,1,34.9,34.9,9.0
AB-2026-10073,2026-02-17,Zalando,K-13013,Kreditkarte,SOCK-3P-M-SCH,Sneaker Socken 3er-Pack,M,Schwarz,1,19.9,19.9,4.8
AB-2026-10073,2026-02-17,Zalando,K-13013,Kreditkarte,CAP-LG-S-WEI,Cap Logo,S,Weiss,1,24.9,24.9,6.0
AB-2026-10074,2026-05-16,Amazon,K-17864,Rechnungskauf,KLEID-PR-S-WEI,Sommerkleid Print,S,Weiss,1,79.9,79.9,24.0
AB-2026-10075,2026-03-23,Eigener Shop,K-12335,PayPal,SOCK-3P-L-NAV,Sneaker Socken 3er-Pack,L,Navy,1,19.9,19.9,4.8
AB-2026-10075,2026-03-23,Eigener Shop,K-12335,PayPal,JOG-CL-L-WEI,Jogger Classic,L,Weiss,1,64.9,64.9,19.5
AB-2026-10076,2026-05-27,Eigener Shop,K-10430,Kreditkarte,HOOD-ZP-S-SCH,Zip-Hoodie Heavy,S,Schwarz,1,89.9,89.9,28.0
AB-2026-10077,2026-02-05,Eigener Shop,K-18913,Rechnungskauf,CAP-LG-L-WEI,Cap Logo,L,Weiss,1,24.9,24.9,6.0
AB-2026-10077,2026-02-05,Eigener Shop,K-18913,Rechnungskauf,CAP-LG-XS-WEI,Cap Logo,XS,Weiss,1,24.9,24.9,6.0
AB-2026-10077,2026-02-05,Eigener Shop,K-18913,Rechnungskauf,CAP-LG-M-WEI,Cap Logo,M,Weiss,1,24.9,24.9,6.0
AB-2026-10077,2026-02-05,Eigener Shop,K-18913,Rechnungskauf,CAP-LG-XL-WEI,Cap Logo,XL,Weiss,1,24.9,24.9,6.0
AB-2026-10078,2026-01-13,Eigener Shop,K-13184,Rechnungskauf,HOOD-ZP-L-OLI,Zip-Hoodie Heavy,L,Oliv,1,89.9,89.9,28.0
AB-2026-10078,2026-01-13,Eigener Shop,K-13184,Rechnungskauf,TEE-OVS-L-NAV,T-Shirt Oversized,L,Navy,1,34.9,34.9,9.0
AB-2026-10078,2026-01-13,Eigener Shop,K-13184,Rechnungskauf,KLEID-PR-XL-NAV,Sommerkleid Print,XL,Navy,1,79.9,79.9,24.0
AB-2026-10079,2026-01-31,Amazon,K-12169,PayPal,TEE-BAS-XL-WEI,T-Shirt Basic,XL,Weiss,1,29.9,29.9,7.5
AB-2026-10080,2026-01-29,Eigener Shop,K-18206,PayPal,JOG-CL-XL-OLI,Jogger Classic,XL,Oliv,1,64.9,64.9,19.5
AB-2026-10080,2026-01-29,Eigener Shop,K-18206,PayPal,SOCK-3P-L-NAV,Sneaker Socken 3er-Pack,L,Navy,1,19.9,19.9,4.8
AB-2026-10081,2026-04-11,Eigener Shop,K-18592,PayPal,SOCK-3P-L-SCH,Sneaker Socken 3er-Pack,L,Schwarz,1,19.9,19.9,4.8
AB-2026-10081,2026-04-11,Eigener Shop,K-18592,PayPal,SOCK-3P-S-OLI,Sneaker Socken 3er-Pack,S,Oliv,1,19.9,19.9,4.8
AB-2026-10081,2026-04-11,Eigener Shop,K-18592,PayPal,HOOD-ZP-XL-NAV,Zip-Hoodie Heavy,XL,Navy,1,89.9,89.9,28.0
AB-2026-10082,2026-03-07,Eigener Shop,K-13731,Vorkasse,HOOD-CL-XL-OLI,Hoodie Classic,XL,Oliv,1,69.9,69.9,21.0
AB-2026-10082,2026-03-07,Eigener Shop,K-13731,Vorkasse,KLEID-PR-S-WEI,Sommerkleid Print,S,Weiss,1,79.9,79.9,24.0
AB-2026-10083,2026-06-22,Amazon,K-14778,Vorkasse,SOCK-3P-L-OLI,Sneaker Socken 3er-Pack,L,Oliv,1,19.9,19.9,4.8
AB-2026-10084,2026-03-08,Amazon,K-17352,Rechnungskauf,HOOD-ZP-S-OLI,Zip-Hoodie Heavy,S,Oliv,1,89.9,89.9,28.0
AB-2026-10085,2026-06-24,Eigener Shop,K-12188,Kreditkarte,TEE-OVS-XL-SCH,T-Shirt Oversized,XL,Schwarz,1,34.9,34.9,9.0
AB-2026-10086,2026-01-12,Eigener Shop,K-19576,PayPal,SOCK-3P-S-WEI,Sneaker Socken 3er-Pack,S,Weiss,1,19.9,19.9,4.8
AB-2026-10087,2026-05-02,Amazon,K-15933,Rechnungskauf,HOOD-ZP-S-SCH,Zip-Hoodie Heavy,S,Schwarz,1,89.9,89.9,28.0
AB-2026-10088,2026-05-22,Amazon,K-17056,PayPal,SOCK-3P-S-WEI,Sneaker Socken 3er-Pack,S,Weiss,1,19.9,19.9,4.8
AB-2026-10089,2026-05-04,Eigener Shop,K-10271,Rechnungskauf,KLEID-PR-S-SCH,Sommerkleid Print,S,Schwarz,1,79.9,79.9,24.0
AB-2026-10090,2026-01-09,Eigener Shop,K-13611,PayPal,CAP-LG-XS-OLI,Cap Logo,XS,Oliv,1,24.9,24.9,6.0
AB-2026-10090,2026-01-09,Eigener Shop,K-13611,PayPal,CAP-LG-XL-OLI,Cap Logo,XL,Oliv,1,24.9,24.9,6.0
AB-2026-10091,2026-04-18,Eigener Shop,K-16414,Vorkasse,KLEID-PR-XS-OLI,Sommerkleid Print,XS,Oliv,1,79.9,79.9,24.0
AB-2026-10091,2026-04-18,Eigener Shop,K-16414,Vorkasse,JOG-CL-XL-NAV,Jogger Classic,XL,Navy,1,64.9,64.9,19.5
AB-2026-10092,2026-02-27,Eigener Shop,K-15048,Rechnungskauf,HOOD-CL-L-SCH,Hoodie Classic,L,Schwarz,1,69.9,69.9,21.0
AB-2026-10093,2026-05-11,Amazon,K-16812,PayPal,CAP-LG-L-NAV,Cap Logo,L,Navy,1,24.9,24.9,6.0
AB-2026-10094,2026-04-11,Amazon,K-17695,PayPal,KLEID-PR-XS-WEI,Sommerkleid Print,XS,Weiss,1,79.9,79.9,24.0
AB-2026-10094,2026-04-11,Amazon,K-17695,PayPal,KLEID-PR-L-SCH,Sommerkleid Print,L,Schwarz,1,79.9,79.9,24.0
AB-2026-10095,2026-01-10,Eigener Shop,K-14200,Kreditkarte,KLEID-PR-M-OLI,Sommerkleid Print,M,Oliv,1,79.9,79.9,24.0
AB-2026-10096,2026-01-12,Amazon,K-12429,PayPal,HOOD-ZP-M-WEI,Zip-Hoodie Heavy,M,Weiss,1,89.9,89.9,28.0
AB-2026-10097,2026-06-10,Amazon,K-14244,Vorkasse,CAP-LG-M-SCH,Cap Logo,M,Schwarz,1,24.9,24.9,6.0
AB-2026-10097,2026-06-10,Amazon,K-14244,Vorkasse,HOOD-ZP-L-NAV,Zip-Hoodie Heavy,L,Navy,1,89.9,89.9,28.0
AB-2026-10098,2026-04-26,Amazon,K-11462,PayPal,HOOD-ZP-L-NAV,Zip-Hoodie Heavy,L,Navy,1,89.9,89.9,28.0
AB-2026-10099,2026-05-08,Eigener Shop,K-19775,PayPal,KLEID-PR-XL-WEI,Sommerkleid Print,XL,Weiss,1,79.9,79.9,24.0
AB-2026-10100,2026-02-25,Eigener Shop,K-12064,Rechnungskauf,TEE-BAS-XS-WEI,T-Shirt Basic,XS,Weiss,1,29.9,29.9,7.5
AB-2026-10100,2026-02-25,Eigener Shop,K-12064,Rechnungskauf,CAP-LG-XL-OLI,Cap Logo,XL,Oliv,1,24.9,24.9,6.0
AB-2026-10100,2026-02-25,Eigener Shop,K-12064,Rechnungskauf,HOOD-ZP-XS-NAV,Zip-Hoodie Heavy,XS,Navy,1,89.9,89.9,28.0
AB-2026-10101,2026-06-21,Eigener Shop,K-11284,Vorkasse,HOOD-ZP-S-WEI,Zip-Hoodie Heavy,S,Weiss,1,89.9,89.9,28.0
AB-2026-10102,2026-06-29,Zalando,K-17354,PayPal,TEE-BAS-L-OLI,T-Shirt Basic,L,Oliv,1,29.9,29.9,7.5
AB-2026-10103,2026-02-21,Eigener Shop,K-17625,Kreditkarte,HOOD-CL-XS-WEI,Hoodie Classic,XS,Weiss,1,69.9,69.9,21.0
AB-2026-10103,2026-02-21,Eigener Shop,K-17625,Kreditkarte,CAP-LG-XL-SCH,Cap Logo,XL,Schwarz,1,24.9,24.9,6.0
AB-2026-10104,2026-02-11,Eigener Shop,K-10394,Rechnungskauf,TEE-BAS-L-NAV,T-Shirt Basic,L,Navy,1,29.9,29.9,7.5
AB-2026-10105,2026-02-21,Eigener Shop,K-12287,Vorkasse,JOG-CL-XL-WEI,Jogger Classic,XL,Weiss,1,64.9,64.9,19.5
AB-2026-10105,2026-02-21,Eigener Shop,K-12287,Vorkasse,HOOD-CL-XL-WEI,Hoodie Classic,XL,Weiss,1,69.9,69.9,21.0
AB-2026-10106,2026-04-09,Eigener Shop,K-14095,PayPal,CAP-LG-XL-SCH,Cap Logo,XL,Schwarz,1,24.9,24.9,6.0
AB-2026-10106,2026-04-09,Eigener Shop,K-14095,PayPal,TEE-BAS-M-WEI,T-Shirt Basic,M,Weiss,1,29.9,29.9,7.5
AB-2026-10107,2026-01-11,Amazon,K-11504,PayPal,TEE-BAS-L-SCH,T-Shirt Basic,L,Schwarz,1,29.9,29.9,7.5
AB-2026-10107,2026-01-11,Amazon,K-11504,PayPal,SOCK-3P-XL-NAV,Sneaker Socken 3er-Pack,XL,Navy,1,19.9,19.9,4.8
AB-2026-10108,2026-02-10,Amazon,K-12462,Rechnungskauf,TEE-BAS-XS-OLI,T-Shirt Basic,XS,Oliv,1,29.9,29.9,7.5
AB-2026-10109,2026-02-28,Eigener Shop,K-14872,Vorkasse,HOOD-ZP-M-NAV,Zip-Hoodie Heavy,M,Navy,1,89.9,89.9,28.0
AB-2026-10110,2026-01-18,Amazon,K-10450,PayPal,TEE-BAS-L-WEI,T-Shirt Basic,L,Weiss,1,29.9,29.9,7.5
AB-2026-10111,2026-03-07,Amazon,K-12637,Rechnungskauf,SOCK-3P-XS-SCH,Sneaker Socken 3er-Pack,XS,Schwarz,1,19.9,19.9,4.8
AB-2026-10112,2026-04-22,Eigener Shop,K-17850,Rechnungskauf,KLEID-PR-S-WEI,Sommerkleid Print,S,Weiss,1,79.9,79.9,24.0
AB-2026-10112,2026-04-22,Eigener Shop,K-17850,Rechnungskauf,TEE-OVS-XS-OLI,T-Shirt Oversized,XS,Oliv,1,34.9,34.9,9.0
AB-2026-10113,2026-05-24,Eigener Shop,K-14361,Rechnungskauf,CAP-LG-XL-NAV,Cap Logo,XL,Navy,1,24.9,24.9,6.0
AB-2026-10113,2026-05-24,Eigener Shop,K-14361,Rechnungskauf,TEE-OVS-S-WEI,T-Shirt Oversized,S,Weiss,1,34.9,34.9,9.0
AB-2026-10113,2026-05-24,Eigener Shop,K-14361,Rechnungskauf,SOCK-3P-S-WEI,Sneaker Socken 3er-Pack,S,Weiss,1,19.9,19.9,4.8
AB-2026-10114,2026-04-21,Zalando,K-17573,Rechnungskauf,HOOD-ZP-S-OLI,Zip-Hoodie Heavy,S,Oliv,1,89.9,89.9,28.0
AB-2026-10115,2026-06-18,Amazon,K-14537,Rechnungskauf,TEE-OVS-L-OLI,T-Shirt Oversized,L,Oliv,1,34.9,34.9,9.0
AB-2026-10115,2026-06-18,Amazon,K-14537,Rechnungskauf,JOG-CL-M-NAV,Jogger Classic,M,Navy,1,64.9,64.9,19.5
AB-2026-10116,2026-03-10,Amazon,K-13928,Vorkasse,KLEID-PR-M-WEI,Sommerkleid Print,M,Weiss,1,79.9,79.9,24.0
AB-2026-10116,2026-03-10,Amazon,K-13928,Vorkasse,HOOD-CL-XL-SCH,Hoodie Classic,XL,Schwarz,1,69.9,69.9,21.0
AB-2026-10117,2026-04-04,Eigener Shop,K-11773,Kreditkarte,SOCK-3P-XS-SCH,Sneaker Socken 3er-Pack,XS,Schwarz,1,19.9,19.9,4.8
AB-2026-10117,2026-04-04,Eigener Shop,K-11773,Kreditkarte,TEE-BAS-L-WEI,T-Shirt Basic,L,Weiss,1,29.9,29.9,7.5
AB-2026-10117,2026-04-04,Eigener Shop,K-11773,Kreditkarte,TEE-BAS-M-OLI,T-Shirt Basic,M,Oliv,1,29.9,29.9,7.5
AB-2026-10118,2026-02-10,Eigener Shop,K-14149,Kreditkarte,TEE-BAS-M-WEI,T-Shirt Basic,M,Weiss,1,29.9,29.9,7.5
