return_number,return_date,status,progress,sales_order_number,channel,customer_number,payment_method,product_number,product_name,variant_size,variant_color,quantity_returned,return_reason,return_reason_category,refund_amount,return_type
RT-2026-4216,2026-05-23,freigegeben,eingegangen,AB-2026-10087,Amazon,K-15933,Rechnungskauf,HOOD-ZP-S-SCH,Zip-Hoodie Heavy,S,Schwarz,1,,Sonstiges,89.9,nicht_abgeholt
RT-2026-4217,2026-05-24,freigegeben,eingegangen,AB-2026-10094,Amazon,K-17695,PayPal,KLEID-PR-L-SCH,Sommerkleid Print,L,Schwarz,1,Entspricht nicht dem Foto,Gutschrift,79.9,kundenretoure
RT-2026-4218,2026-03-26,freigegeben,eingegangen,AB-2026-10103,Eigener Shop,K-17625,Kreditkarte,HOOD-CL-XS-WEI,Hoodie Classic,XS,Weiss,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4219,2026-03-10,freigegeben,eingegangen,AB-2026-10105,Eigener Shop,K-12287,Vorkasse,HOOD-CL-XL-WEI,Hoodie Classic,XL,Weiss,1,Gefaellt nicht,Gutschrift,69.9,kundenretoure
RT-2026-4220,2026-03-18,freigegeben,eingegangen,AB-2026-10108,Amazon,K-12462,Rechnungskauf,TEE-BAS-XS-OLI,T-Shirt Basic,XS,Oliv,1,Zu gross,Gutschrift,29.9,kundenretoure
RT-2026-4221,2026-05-16,freigegeben,eingegangen,AB-2026-10127,Eigener Shop,K-11115,Vorkasse,TEE-OVS-XL-SCH,T-Shirt Oversized,XL,Schwarz,1,Zu gross,Gutschrift,34.9,kundenretoure
RT-2026-4222,2026-05-10,freigegeben,eingegangen,AB-2026-10127,Eigener Shop,K-11115,Vorkasse,HOOD-ZP-M-NAV,Zip-Hoodie Heavy,M,Navy,1,Beschaedigt angekommen,Ersatzlieferung,89.9,kundenretoure
RT-2026-4223,2026-02-19,freigegeben,eingegangen,AB-2026-10145,Eigener Shop,K-16364,Rechnungskauf,KLEID-PR-XS-WEI,Sommerkleid Print,XS,Weiss,1,Entspricht nicht dem Foto,Gutschrift,79.9,kundenretoure
RT-2026-4224,2026-03-24,freigegeben,eingegangen,AB-2026-10147,Eigener Shop,K-16143,Rechnungskauf,HOOD-CL-L-NAV,Hoodie Classic,L,Navy,1,Zu spaet geliefert,Gutschrift,69.9,kundenretoure
RT-2026-4225,2026-03-15,freigegeben,eingegangen,AB-2026-10150,Eigener Shop,K-12991,Vorkasse,TEE-OVS-S-NAV,T-Shirt Oversized,S,Navy,1,Gefaellt nicht,Gutschrift,34.9,kundenretoure
RT-2026-4226,2026-01-28,freigegeben,eingegangen,AB-2026-10166,Eigener Shop,K-18998,Kreditkarte,HOOD-CL-L-WEI,Hoodie Classic,L,Weiss,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4227,2026-03-31,freigegeben,eingegangen,AB-2026-10167,Eigener Shop,K-15313,Rechnungskauf,HOOD-CL-XL-OLI,Hoodie Classic,XL,Oliv,1,Gefaellt nicht,Gutschrift,69.9,kundenretoure
RT-2026-4228,2026-01-09,freigegeben,eingegangen,AB-2026-10170,Amazon,K-13633,Rechnungskauf,HOOD-CL-L-OLI,Hoodie Classic,L,Oliv,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4229,2026-02-25,freigegeben,eingegangen,AB-2026-10177,Eigener Shop,K-16879,PayPal,HOOD-CL-S-WEI,Hoodie Classic,S,Weiss,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4230,2026-03-31,freigegeben,eingegangen,AB-2026-10179,Eigener Shop,K-13606,Rechnungskauf,JOG-CL-S-OLI,Jogger Classic,S,Oliv,1,Gefaellt nicht,Gutschrift,64.9,kundenretoure
RT-2026-4231,2026-07-17,freigegeben,eingegangen,AB-2026-10180,Amazon,K-11412,Kreditkarte,KLEID-PR-M-NAV,Sommerkleid Print,M,Navy,1,Gefaellt nicht,Gutschrift,79.9,kundenretoure
RT-2026-4232,2026-06-09,freigegeben,eingegangen,AB-2026-10182,Eigener Shop,K-14335,PayPal,TEE-OVS-L-WEI,T-Shirt Oversized,L,Weiss,1,Zu gross,Gutschrift,34.9,kundenretoure
RT-2026-4233,2026-04-16,freigegeben,eingegangen,AB-2026-10185,Eigener Shop,K-14281,Vorkasse,KLEID-PR-XL-OLI,Sommerkleid Print,XL,Oliv,1,Gefaellt nicht,Gutschrift,79.9,kundenretoure
RT-2026-4234,2026-02-06,freigegeben,eingegangen,AB-2026-10186,Eigener Shop,K-10743,Rechnungskauf,TEE-OVS-S-SCH,T-Shirt Oversized,S,Schwarz,1,Entspricht nicht dem Foto,Gutschrift,34.9,kundenretoure
RT-2026-4235,2026-07-19,freigegeben,eingegangen,AB-2026-10187,Eigener Shop,K-10122,Rechnungskauf,SOCK-3P-XS-SCH,Sneaker Socken 3er-Pack,XS,Schwarz,1,Zu gross,Gutschrift,19.9,kundenretoure
RT-2026-4236,2026-03-15,freigegeben,eingegangen,AB-2026-10194,Eigener Shop,K-19359,PayPal,KLEID-PR-XS-OLI,Sommerkleid Print,XS,Oliv,1,Mangelhafte Qualitaet,Gutschrift,79.9,kundenretoure
RT-2026-4237,2026-03-04,freigegeben,eingegangen,AB-2026-10194,Eigener Shop,K-19359,PayPal,KLEID-PR-S-NAV,Sommerkleid Print,S,Navy,1,Entspricht nicht dem Foto,Gutschrift,79.9,kundenretoure
RT-2026-4238,2026-05-07,freigegeben,eingegangen,AB-2026-10199,Zalando,K-10329,PayPal,KLEID-PR-L-WEI,Sommerkleid Print,L,Weiss,1,Beschaedigt angekommen,Ersatzlieferung,79.9,kundenretoure
RT-2026-4239,2026-04-27,freigegeben,eingegangen,AB-2026-10199,Zalando,K-10329,PayPal,HOOD-CL-S-NAV,Hoodie Classic,S,Navy,1,Zu gross,Gutschrift,69.9,kundenretoure
RT-2026-4240,2026-03-30,freigegeben,eingegangen,AB-2026-10202,Eigener Shop,K-11352,Vorkasse,HOOD-CL-S-NAV,Hoodie Classic,S,Navy,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4241,2026-01-18,freigegeben,eingegangen,AB-2026-10205,Eigener Shop,K-12453,Kreditkarte,JOG-CL-M-WEI,Jogger Classic,M,Weiss,1,Beschaedigt angekommen,Ersatzlieferung,64.9,kundenretoure
RT-2026-4242,2026-04-02,freigegeben,eingegangen,AB-2026-10207,Zalando,K-13800,PayPal,JOG-CL-XL-WEI,Jogger Classic,XL,Weiss,1,Zu gross,Gutschrift,64.9,kundenretoure
RT-2026-4243,2026-05-13,freigegeben,eingegangen,AB-2026-10213,Eigener Shop,K-15129,Kreditkarte,KLEID-PR-S-WEI,Sommerkleid Print,S,Weiss,1,Entspricht nicht dem Foto,Gutschrift,79.9,kundenretoure
RT-2026-4244,2026-07-13,freigegeben,eingegangen,AB-2026-10214,Amazon,K-13825,Rechnungskauf,JOG-CL-XL-SCH,Jogger Classic,XL,Schwarz,1,Zu klein,Gutschrift,64.9,kundenretoure
RT-2026-4245,2026-07-03,freigegeben,eingegangen,AB-2026-10214,Amazon,K-13825,Rechnungskauf,JOG-CL-L-SCH,Jogger Classic,L,Schwarz,1,Mangelhafte Qualitaet,Gutschrift,64.9,kundenretoure
RT-2026-4246,2026-01-21,freigegeben,eingegangen,AB-2026-10217,Amazon,K-17554,Kreditkarte,TEE-OVS-XS-SCH,T-Shirt Oversized,XS,Schwarz,1,Gefaellt nicht,Gutschrift,34.9,kundenretoure
RT-2026-4247,2026-06-17,freigegeben,eingegangen,AB-2026-10220,Eigener Shop,K-12146,Rechnungskauf,KLEID-PR-L-SCH,Sommerkleid Print,L,Schwarz,1,Farbe weicht ab,Gutschrift,79.9,kundenretoure
RT-2026-4248,2026-02-07,freigegeben,eingegangen,AB-2026-10225,Eigener Shop,K-10054,Rechnungskauf,TEE-OVS-XS-OLI,T-Shirt Oversized,XS,Oliv,1,Mangelhafte Qualitaet,Gutschrift,34.9,kundenretoure
RT-2026-4249,2026-02-23,freigegeben,eingegangen,AB-2026-10229,Amazon,K-19890,PayPal,TEE-OVS-XS-NAV,T-Shirt Oversized,XS,Navy,1,Zu klein,Gutschrift,34.9,kundenretoure
RT-2026-4250,2026-02-09,freigegeben,eingegangen,AB-2026-10230,Eigener Shop,K-17116,PayPal,SOCK-3P-S-OLI,Sneaker Socken 3er-Pack,S,Oliv,1,Nicht mehr benoetigt,Gutschrift,19.9,kundenretoure
RT-2026-4251,2026-06-04,freigegeben,eingegangen,AB-2026-10236,Zalando,K-11316,Rechnungskauf,KLEID-PR-M-WEI,Sommerkleid Print,M,Weiss,1,Zu gross,Gutschrift,79.9,kundenretoure
RT-2026-4252,2026-05-09,freigegeben,eingegangen,AB-2026-10238,Eigener Shop,K-12058,PayPal,HOOD-CL-L-SCH,Hoodie Classic,L,Schwarz,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4253,2026-03-13,freigegeben,eingegangen,AB-2026-10243,Amazon,K-12958,Rechnungskauf,HOOD-CL-XL-OLI,Hoodie Classic,XL,Oliv,1,,Sonstiges,69.9,nicht_abgeholt
RT-2026-4254,2026-07-08,freigegeben,eingegangen,AB-2026-10252,Eigener Shop,K-13291,Vorkasse,JOG-CL-XS-WEI,Jogger Classic,XS,Weiss,1,Gefaellt nicht,Gutschrift,64.9,kundenretoure
RT-2026-4255,2026-04-24,freigegeben,eingegangen,AB-2026-10269,Eigener Shop,K-15841,PayPal,KLEID-PR-M-SCH,Sommerkleid Print,M,Schwarz,1,Zu klein,Gutschrift,79.9,kundenretoure
RT-2026-4256,2026-05-14,freigegeben,eingegangen,AB-2026-10272,Eigener Shop,K-17702,Rechnungskauf,TEE-BAS-S-NAV,T-Shirt Basic,S,Navy,1,Gefaellt nicht,Gutschrift,29.9,kundenretoure
RT-2026-4257,2026-06-15,freigegeben,eingegangen,AB-2026-10274,Eigener Shop,K-19903,Rechnungskauf,TEE-BAS-XL-OLI,T-Shirt Basic,XL,Oliv,1,Gefaellt nicht,Gutschrift,29.9,kundenretoure
RT-2026-4258,2026-04-01,freigegeben,eingegangen,AB-2026-10277,Eigener Shop,K-18938,Vorkasse,TEE-OVS-L-SCH,T-Shirt Oversized,L,Schwarz,1,Nicht mehr benoetigt,Gutschrift,34.9,kundenretoure
RT-2026-4259,2026-05-14,freigegeben,eingegangen,AB-2026-10278,Amazon,K-10430,Vorkasse,KLEID-PR-S-SCH,Sommerkleid Print,S,Schwarz,1,Mangelhafte Qualitaet,Gutschrift,79.9,kundenretoure
RT-2026-4260,2026-01-21,freigegeben,eingegangen,AB-2026-10279,Eigener Shop,K-11912,PayPal,KLEID-PR-M-NAV,Sommerkleid Print,M,Navy,1,Entspricht nicht dem Foto,Gutschrift,79.9,kundenretoure
RT-2026-4261,2026-03-02,freigegeben,eingegangen,AB-2026-10281,Eigener Shop,K-15538,Rechnungskauf,HOOD-CL-M-OLI,Hoodie Classic,M,Oliv,1,Gefaellt nicht,Gutschrift,69.9,kundenretoure
RT-2026-4262,2026-07-16,freigegeben,eingegangen,AB-2026-10288,Eigener Shop,K-12682,Kreditkarte,KLEID-PR-S-WEI,Sommerkleid Print,S,Weiss,1,Nicht mehr benoetigt,Gutschrift,79.9,kundenretoure
RT-2026-4263,2026-03-20,freigegeben,eingegangen,AB-2026-10289,Eigener Shop,K-15944,Rechnungskauf,HOOD-CL-L-WEI,Hoodie Classic,L,Weiss,1,Gefaellt nicht,Gutschrift,69.9,kundenretoure
RT-2026-4264,2026-02-25,freigegeben,eingegangen,AB-2026-10292,Zalando,K-12802,Kreditkarte,HOOD-CL-S-WEI,Hoodie Classic,S,Weiss,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4265,2026-02-14,freigegeben,eingegangen,AB-2026-10298,Eigener Shop,K-11199,PayPal,KLEID-PR-M-WEI,Sommerkleid Print,M,Weiss,1,Zu gross,Gutschrift,79.9,kundenretoure
RT-2026-4266,2026-01-12,freigegeben,eingegangen,AB-2026-10309,Eigener Shop,K-18200,Kreditkarte,JOG-CL-S-OLI,Jogger Classic,S,Oliv,1,Beschaedigt angekommen,Ersatzlieferung,64.9,kundenretoure
RT-2026-4267,2026-01-27,freigegeben,eingegangen,AB-2026-10314,Eigener Shop,K-12045,Rechnungskauf,TEE-OVS-L-NAV,T-Shirt Oversized,L,Navy,1,,Sonstiges,34.9,nicht_abgeholt
RT-2026-4267,2026-01-27,freigegeben,eingegangen,AB-2026-10314,Eigener Shop,K-12045,Rechnungskauf,TEE-OVS-M-OLI,T-Shirt Oversized,M,Oliv,1,,Sonstiges,34.9,nicht_abgeholt
RT-2026-4268,2026-04-27,freigegeben,eingegangen,AB-2026-10316,Eigener Shop,K-11826,Rechnungskauf,HOOD-ZP-XS-WEI,Zip-Hoodie Heavy,XS,Weiss,1,,Sonstiges,89.9,nicht_abgeholt
RT-2026-4269,2026-05-19,freigegeben,eingegangen,AB-2026-10321,Eigener Shop,K-16361,Rechnungskauf,SOCK-3P-M-WEI,Sneaker Socken 3er-Pack,M,Weiss,1,,Sonstiges,19.9,nicht_abgeholt
RT-2026-4270,2026-06-17,freigegeben,eingegangen,AB-2026-10323,Amazon,K-12129,PayPal,JOG-CL-XL-NAV,Jogger Classic,XL,Navy,1,Zu klein,Gutschrift,64.9,kundenretoure
RT-2026-4271,2026-03-19,freigegeben,eingegangen,AB-2026-10335,Eigener Shop,K-17667,Kreditkarte,TEE-BAS-XL-NAV,T-Shirt Basic,XL,Navy,1,Zu spaet geliefert,Gutschrift,29.9,kundenretoure
RT-2026-4272,2026-03-22,freigegeben,eingegangen,AB-2026-10336,Eigener Shop,K-17728,Kreditkarte,KLEID-PR-XL-SCH,Sommerkleid Print,XL,Schwarz,1,Farbe weicht ab,Gutschrift,79.9,kundenretoure
RT-2026-4273,2026-05-24,freigegeben,eingegangen,AB-2026-10337,Eigener Shop,K-13303,Rechnungskauf,HOOD-CL-XL-OLI,Hoodie Classic,XL,Oliv,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4274,2026-07-05,freigegeben,eingegangen,AB-2026-10338,Amazon,K-11440,Rechnungskauf,TEE-OVS-XS-OLI,T-Shirt Oversized,XS,Oliv,1,Gefaellt nicht,Gutschrift,34.9,kundenretoure
RT-2026-4275,2026-08-09,freigegeben,eingegangen,AB-2026-10338,Amazon,K-11440,Rechnungskauf,KLEID-PR-XL-NAV,Sommerkleid Print,XL,Navy,1,Zu gross,Gutschrift,79.9,kundenretoure
RT-2026-4276,2026-02-19,freigegeben,eingegangen,AB-2026-10346,Eigener Shop,K-13244,Rechnungskauf,KLEID-PR-XL-OLI,Sommerkleid Print,XL,Oliv,1,Farbe weicht ab,Gutschrift,79.9,kundenretoure
RT-2026-4277,2026-02-10,freigegeben,eingegangen,AB-2026-10346,Eigener Shop,K-13244,Rechnungskauf,KLEID-PR-L-WEI,Sommerkleid Print,L,Weiss,1,Zu gross,Gutschrift,79.9,kundenretoure
RT-2026-4278,2026-07-15,freigegeben,eingegangen,AB-2026-10366,Eigener Shop,K-17161,Vorkasse,HOOD-CL-M-SCH,Hoodie Classic,M,Schwarz,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4279,2026-04-12,freigegeben,eingegangen,AB-2026-10372,Eigener Shop,K-14131,PayPal,KLEID-PR-M-WEI,Sommerkleid Print,M,Weiss,1,Farbe weicht ab,Gutschrift,79.9,kundenretoure
RT-2026-4280,2026-01-31,freigegeben,eingegangen,AB-2026-10373,Amazon,K-17125,PayPal,JOG-CL-XS-OLI,Jogger Classic,XS,Oliv,1,Gefaellt nicht,Gutschrift,64.9,kundenretoure
RT-2026-4281,2026-06-08,freigegeben,eingegangen,AB-2026-10379,Eigener Shop,K-12968,PayPal,TEE-OVS-L-NAV,T-Shirt Oversized,L,Navy,1,Zu klein,Gutschrift,34.9,kundenretoure
RT-2026-4282,2026-03-07,freigegeben,eingegangen,AB-2026-10388,Eigener Shop,K-14268,Vorkasse,TEE-BAS-XS-OLI,T-Shirt Basic,XS,Oliv,1,Mangelhafte Qualitaet,Gutschrift,29.9,kundenretoure
RT-2026-4283,2026-01-11,freigegeben,eingegangen,AB-2026-10389,Eigener Shop,K-10457,PayPal,HOOD-CL-XS-SCH,Hoodie Classic,XS,Schwarz,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4284,2026-06-16,freigegeben,eingegangen,AB-2026-10390,Zalando,K-14820,Rechnungskauf,CAP-LG-XL-NAV,Cap Logo,XL,Navy,1,,Sonstiges,24.9,nicht_abgeholt
RT-2026-4285,2026-02-02,freigegeben,eingegangen,AB-2026-10401,Eigener Shop,K-15160,PayPal,TEE-OVS-L-OLI,T-Shirt Oversized,L,Oliv,1,Beschaedigt angekommen,Ersatzlieferung,34.9,kundenretoure
RT-2026-4286,2026-06-25,freigegeben,eingegangen,AB-2026-10402,Zalando,K-16292,Kreditkarte,HOOD-CL-M-NAV,Hoodie Classic,M,Navy,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4287,2026-04-18,freigegeben,eingegangen,AB-2026-10405,Amazon,K-15612,PayPal,TEE-OVS-XL-SCH,T-Shirt Oversized,XL,Schwarz,1,Mangelhafte Qualitaet,Gutschrift,34.9,kundenretoure
RT-2026-4288,2026-05-30,freigegeben,eingegangen,AB-2026-10407,Eigener Shop,K-15558,Vorkasse,KLEID-PR-S-NAV,Sommerkleid Print,S,Navy,1,Entspricht nicht dem Foto,Gutschrift,79.9,kundenretoure
RT-2026-4289,2026-06-15,freigegeben,eingegangen,AB-2026-10411,Amazon,K-13331,Rechnungskauf,TEE-OVS-XS-SCH,T-Shirt Oversized,XS,Schwarz,1,,Sonstiges,34.9,nicht_abgeholt
RT-2026-4289,2026-06-15,freigegeben,eingegangen,AB-2026-10411,Amazon,K-13331,Rechnungskauf,CAP-LG-XL-NAV,Cap Logo,XL,Navy,1,,Sonstiges,24.9,nicht_abgeholt
RT-2026-4290,2026-04-21,freigegeben,eingegangen,AB-2026-10412,Eigener Shop,K-19329,Kreditkarte,HOOD-CL-XL-NAV,Hoodie Classic,XL,Navy,1,Mangelhafte Qualitaet,Gutschrift,69.9,kundenretoure
RT-2026-4291,2026-04-13,freigegeben,eingegangen,AB-2026-10416,Amazon,K-15739,Kreditkarte,SOCK-3P-M-SCH,Sneaker Socken 3er-Pack,M,Schwarz,1,Mangelhafte Qualitaet,Gutschrift,19.9,kundenretoure
RT-2026-4292,2026-02-14,freigegeben,eingegangen,AB-2026-10418,Amazon,K-11117,Vorkasse,HOOD-CL-S-SCH,Hoodie Classic,S,Schwarz,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4293,2026-05-08,freigegeben,eingegangen,AB-2026-10419,Eigener Shop,K-17001,Vorkasse,HOOD-ZP-S-OLI,Zip-Hoodie Heavy,S,Oliv,1,Gefaellt nicht,Gutschrift,89.9,kundenretoure
RT-2026-4294,2026-05-24,freigegeben,eingegangen,AB-2026-10422,Amazon,K-19306,PayPal,SOCK-3P-S-SCH,Sneaker Socken 3er-Pack,S,Schwarz,1,Entspricht nicht dem Foto,Gutschrift,19.9,kundenretoure
RT-2026-4295,2026-02-22,freigegeben,eingegangen,AB-2026-10425,Amazon,K-12042,PayPal,JOG-CL-M-SCH,Jogger Classic,M,Schwarz,1,Zu gross,Gutschrift,64.9,kundenretoure
RT-2026-4296,2026-05-28,freigegeben,eingegangen,AB-2026-10426,Amazon,K-14469,Kreditkarte,HOOD-ZP-S-OLI,Zip-Hoodie Heavy,S,Oliv,1,Nicht mehr benoetigt,Gutschrift,89.9,kundenretoure
RT-2026-4297,2026-06-18,freigegeben,eingegangen,AB-2026-10427,Amazon,K-10442,PayPal,SOCK-3P-S-NAV,Sneaker Socken 3er-Pack,S,Navy,1,Gefaellt nicht,Gutschrift,19.9,kundenretoure
RT-2026-4298,2026-06-08,freigegeben,eingegangen,AB-2026-10427,Amazon,K-10442,PayPal,JOG-CL-M-SCH,Jogger Classic,M,Schwarz,1,Gefaellt nicht,Gutschrift,64.9,kundenretoure
RT-2026-4299,2026-05-30,freigegeben,eingegangen,AB-2026-10427,Amazon,K-10442,PayPal,JOG-CL-XL-SCH,Jogger Classic,XL,Schwarz,1,Nicht mehr benoetigt,Gutschrift,64.9,kundenretoure
RT-2026-4300,2026-06-10,freigegeben,eingegangen,AB-2026-10428,Eigener Shop,K-11413,Rechnungskauf,TEE-OVS-XS-OLI,T-Shirt Oversized,XS,Oliv,1,,Sonstiges,34.9,nicht_abgeholt
RT-2026-4300,2026-06-10,freigegeben,eingegangen,AB-2026-10428,Eigener Shop,K-11413,Rechnungskauf,HOOD-CL-M-NAV,Hoodie Classic,M,Navy,1,,Sonstiges,69.9,nicht_abgeholt
RT-2026-4301,2026-06-16,freigegeben,eingegangen,AB-2026-10429,Zalando,K-19471,Kreditkarte,HOOD-CL-XL-SCH,Hoodie Classic,XL,Schwarz,1,Zu klein,Gutschrift,69.9,kundenretoure
RT-2026-4302,2026-05-23,freigegeben,eingegangen,AB-2026-10454,Eigener Shop,K-11621,Kreditkarte,TEE-BAS-S-OLI,T-Shirt Basic,S,Oliv,1,,Sonstiges,29.9,nicht_abgeholt
RT-2026-4303,2026-02-25,freigegeben,eingegangen,AB-2026-10457,Amazon,K-14320,Rechnungskauf,HOOD-ZP-XL-SCH,Zip-Hoodie Heavy,XL,Schwarz,1,,Sonstiges,89.9,nicht_abgeholt
RT-2026-4304,2026-05-05,freigegeben,eingegangen,AB-2026-10458,Eigener Shop,K-15011,Rechnungskauf,KLEID-PR-M-OLI,Sommerkleid Print,M,Oliv,1,Nicht mehr benoetigt,Gutschrift,79.9,kundenretoure
RT-2026-4305,2026-01-13,freigegeben,eingegangen,AB-2026-10462,Eigener Shop,K-15037,Kreditkarte,KLEID-PR-XS-SCH,Sommerkleid Print,XS,Schwarz,1,Zu gross,Gutschrift,79.9,kundenretoure
RT-2026-4306,2026-06-27,freigegeben,eingegangen,AB-2026-10463,Amazon,K-11686,Vorkasse,KLEID-PR-M-NAV,Sommerkleid Print,M,Navy,1,Entspricht nicht dem Foto,Gutschrift,79.9,kundenretoure
RT-2026-4307,2026-04-20,freigegeben,eingegangen,AB-2026-10464,Amazon,K-17488,PayPal,CAP-LG-M-NAV,Cap Logo,M,Navy,1,Beschaedigt angekommen,Ersatzlieferung,24.9,kundenretoure
RT-2026-4308,2026-03-15,freigegeben,eingegangen,AB-2026-10473,Zalando,K-13526,PayPal,CAP-LG-M-SCH,Cap Logo,M,Schwarz,1,Zu klein,Gutschrift,24.9,kundenretoure
RT-2026-4309,2026-05-08,freigegeben,eingegangen,AB-2026-10474,Eigener Shop,K-11618,Vorkasse,KLEID-PR-M-NAV,Sommerkleid Print,M,Navy,1,Zu gross,Gutschrift,79.9,kundenretoure
RT-2026-4310,2026-02-02,freigegeben,eingegangen,AB-2026-10486,Amazon,K-14918,Rechnungskauf,HOOD-ZP-M-NAV,Zip-Hoodie Heavy,M,Navy,1,Gefaellt nicht,Gutschrift,89.9,kundenretoure
RT-2026-4311,2026-02-20,freigegeben,eingegangen,AB-2026-10488,Eigener Shop,K-10379,PayPal,SOCK-3P-S-OLI,Sneaker Socken 3er-Pack,S,Oliv,1,Gefaellt nicht,Gutschrift,19.9,kundenretoure
RT-2026-4312,2026-04-10,freigegeben,eingegangen,AB-2026-10490,Eigener Shop,K-15252,Rechnungskauf,KLEID-PR-XS-OLI,Sommerkleid Print,XS,Oliv,1,Zu gross,Gutschrift,79.9,kundenretoure
RT-2026-4313,2026-06-20,freigegeben,eingegangen,AB-2026-10491,Eigener Shop,K-10273,Kreditkarte,JOG-CL-M-NAV,Jogger Classic,M,Navy,1,Entspricht nicht dem Foto,Gutschrift,64.9,kundenretoure
